# layer_id eta phi delta_eta delta_phi rmin rmax
L 3 -1.0 1.0 40 -3.11704896 3.11704896 254 1926.0 1980.0
C 3 -0.975 2.07394203 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi211 0 211
C 3 -0.975 2.09848572 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi212 0 212
C 3 -0.975 2.12302941 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi213 0 213
C 3 -0.975 2.1475731 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi214 0 214
C 3 -0.975 2.1721168 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi215 0 215
C 3 -0.975 2.19666049 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi216 0 216
C 3 -0.975 2.22120418 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi217 0 217
C 3 -0.975 2.24574787 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi218 0 218
C 3 -0.975 2.27029157 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi219 0 219
C 3 -0.975 2.29483526 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi220 0 220
C 3 -0.975 2.31937895 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi221 0 221
C 3 -0.975 2.34392264 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi222 0 222
C 3 -0.975 2.36846634 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi223 0 223
C 3 -0.975 2.39301003 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi224 0 224
C 3 -0.975 2.41755372 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi225 0 225
C 3 -0.975 2.44209741 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi226 0 226
C 3 -0.975 2.46664111 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi227 0 227
C 3 -0.975 2.4911848 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi228 0 228
C 3 -0.975 2.51572849 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi229 0 229
C 3 -0.975 2.54027218 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi230 0 230
C 3 -0.975 2.56481588 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi231 0 231
C 3 -0.975 2.58935957 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi232 0 232
C 3 -0.975 2.61390326 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi233 0 233
C 3 -0.975 2.63844696 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi234 0 234
C 3 -0.975 2.66299065 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi235 0 235
C 3 -0.975 2.68753434 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi236 0 236
C 3 -0.975 2.71207803 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi237 0 237
C 3 -0.975 2.73662173 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi238 0 238
C 3 -0.975 2.76116542 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi239 0 239
C 3 -0.975 2.78570911 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi240 0 240
C 3 -0.975 2.8102528 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi241 0 241
C 3 -0.975 2.8347965 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi242 0 242
