# layer_id eta phi delta_eta delta_phi rmin rmax
L 4 -0.8 0.8 16 -3.14159265 3.14159265 64 2280 2680
C 4 -0.65 2.89615573 0.1 0.09817477 2280 2680 layer4_eta1_phi61 1 61
C 4 -0.65 2.9943305 0.1 0.09817477 2280 2680 layer4_eta1_phi62 1 62
C 4 -0.65 3.09250527 0.1 0.09817477 2280 2680 layer4_eta1_phi63 1 63
C 4 -0.55 -3.09250527 0.1 0.09817477 2280 2680 layer4_eta2_phi0 2 0
C 4 -0.55 -2.9943305 0.1 0.09817477 2280 2680 layer4_eta2_phi1 2 1
C 4 -0.55 -2.89615573 0.1 0.09817477 2280 2680 layer4_eta2_phi2 2 2
C 4 -0.55 -2.79798096 0.1 0.09817477 2280 2680 layer4_eta2_phi3 2 3
C 4 -0.55 -2.69980619 0.1 0.09817477 2280 2680 layer4_eta2_phi4 2 4
C 4 -0.55 -2.60163142 0.1 0.09817477 2280 2680 layer4_eta2_phi5 2 5
C 4 -0.55 -2.50345665 0.1 0.09817477 2280 2680 layer4_eta2_phi6 2 6
C 4 -0.55 -2.40528188 0.1 0.09817477 2280 2680 layer4_eta2_phi7 2 7
C 4 -0.55 -2.3071071 0.1 0.09817477 2280 2680 layer4_eta2_phi8 2 8
C 4 -0.55 -2.20893233 0.1 0.09817477 2280 2680 layer4_eta2_phi9 2 9
C 4 -0.55 -2.11075756 0.1 0.09817477 2280 2680 layer4_eta2_phi10 2 10
C 4 -0.55 -2.01258279 0.1 0.09817477 2280 2680 layer4_eta2_phi11 2 11
C 4 -0.55 -1.91440802 0.1 0.09817477 2280 2680 layer4_eta2_phi12 2 12
C 4 -0.55 -1.81623325 0.1 0.09817477 2280 2680 layer4_eta2_phi13 2 13
C 4 -0.55 -1.71805848 0.1 0.09817477 2280 2680 layer4_eta2_phi14 2 14
C 4 -0.55 -1.61988371 0.1 0.09817477 2280 2680 layer4_eta2_phi15 2 15
C 4 -0.55 -1.52170894 0.1 0.09817477 2280 2680 layer4_eta2_phi16 2 16
C 4 -0.55 -1.42353417 0.1 0.09817477 2280 2680 layer4_eta2_phi17 2 17
C 4 -0.55 -1.3253594 0.1 0.09817477 2280 2680 layer4_eta2_phi18 2 18
C 4 -0.55 -1.22718463 0.1 0.09817477 2280 2680 layer4_eta2_phi19 2 19
C 4 -0.55 -1.12900986 0.1 0.09817477 2280 2680 layer4_eta2_phi20 2 20
