# layer_id eta phi delta_eta delta_phi rmin rmax
L 1 -1.196 1.196 736 -3.14159265 3.14159265 64 1500 1596.0
C 1 -1.184625 -2.69980619 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi4 3 4
C 1 -1.184625 -2.60163142 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi5 3 5
C 1 -1.184625 -2.50345665 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi6 3 6
C 1 -1.184625 -2.40528188 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi7 3 7
C 1 -1.184625 -2.3071071 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi8 3 8
C 1 -1.184625 -2.20893233 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi9 3 9
C 1 -1.184625 -2.11075756 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi10 3 10
C 1 -1.184625 -2.01258279 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi11 3 11
C 1 -1.184625 -1.91440802 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi12 3 12
C 1 -1.184625 -1.81623325 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi13 3 13
C 1 -1.184625 -1.71805848 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi14 3 14
C 1 -1.184625 -1.61988371 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi15 3 15
C 1 -1.184625 -1.52170894 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi16 3 16
C 1 -1.184625 -1.42353417 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi17 3 17
C 1 -1.184625 -1.3253594 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi18 3 18
C 1 -1.184625 -1.22718463 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi19 3 19
C 1 -1.184625 -1.12900986 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi20 3 20
C 1 -1.184625 -1.03083509 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi21 3 21
C 1 -1.184625 -0.93266032 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi22 3 22
C 1 -1.184625 -0.83448555 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi23 3 23
C 1 -1.184625 -0.73631078 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi24 3 24
C 1 -1.184625 -0.63813601 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi25 3 25
C 1 -1.184625 -0.53996124 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi26 3 26
C 1 -1.184625 -0.44178647 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi27 3 27
C 1 -1.184625 -0.3436117 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi28 3 28
C 1 -1.184625 -0.24543693 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi29 3 29
C 1 -1.184625 -0.14726216 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi30 3 30
C 1 -1.184625 -0.04908739 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi31 3 31
C 1 -1.184625 0.04908739 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi32 3 32
C 1 -1.184625 0.14726216 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi33 3 33
C 1 -1.184625 0.24543693 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi34 3 34
C 1 -1.184625 0.3436117 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi35 3 35
C 1 -1.184625 0.44178647 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi36 3 36
C 1 -1.184625 0.53996124 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi37 3 37
C 1 -1.184625 0.63813601 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi38 3 38
C 1 -1.184625 0.73631078 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi39 3 39
C 1 -1.184625 0.83448555 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi40 3 40
C 1 -1.184625 0.93266032 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi41 3 41
C 1 -1.184625 1.03083509 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi42 3 42
C 1 -1.184625 1.12900986 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi43 3 43
C 1 -1.184625 1.22718463 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi44 3 44
C 1 -1.184625 1.3253594 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi45 3 45
C 1 -1.184625 1.42353417 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi46 3 46
C 1 -1.184625 1.52170894 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi47 3 47
C 1 -1.184625 1.61988371 0.00325 0.09817477 1500 1596.0 layer1_eta3_phi48 3 48
